"first","second"
"3.978 , 32.997 , 64.9995","72.981 , 127.9845 , 85.986"
"3.978 , 32.997 , 64.9995","32.997 , 116.994 , 39.984"
"3.978 , 32.997 , 64.9995","22.9755 , 61.9905 , 31.977"
"3.978 , 32.997 , 64.9995","216.9795 , 226.9755 , 106.998"
"3.978 , 32.997 , 64.9995","197.982 , 221.9775 , 36.975"
"3.978 , 32.997 , 64.9995","174.981 , 190.995 , 90.984"
"3.978 , 32.997 , 64.9995","170.9775 , 201.9855 , 1.989"
"3.978 , 32.997 , 64.9995","132.9825 , 147.9765 , 42.993"
"3.978 , 32.997 , 64.9995","117.9885 , 142.9785 , 0.9945"
"3.978 , 32.997 , 64.9995","68.9775 , 85.986 , 7.9815"
"3.978 , 32.997 , 64.9995","251.991 , 236.997 , 119.9775"
"3.978 , 32.997 , 64.9995","252.9855 , 221.9775 , 42.993"
"3.978 , 32.997 , 64.9995","211.9815 , 190.995 , 81.9825"
"3.978 , 32.997 , 64.9995","244.9785 , 208.998 , 0.9945"
"3.978 , 32.997 , 64.9995","175.9755 , 151.98 , 45.9765"
"3.978 , 32.997 , 64.9995","170.9775 , 143.9985 , 2.9835"
"3.978 , 32.997 , 64.9995","104.9835 , 90.984 , 20.9865"
"3.978 , 32.997 , 64.9995","250.9965 , 200.991 , 141.984"
"3.978 , 32.997 , 64.9995","251.991 , 166.9995 , 40.9785"
"3.978 , 32.997 , 64.9995","228.99 , 154.989 , 91.9785"
"3.978 , 32.997 , 64.9995","255 , 143.9985 , 0"
"3.978 , 32.997 , 64.9995","174.981 , 120.9975 , 60.996"
"3.978 , 32.997 , 64.9995","172.992 , 100.98 , 1.989"
"3.978 , 32.997 , 64.9995","118.983 , 69.9975 , 11.985"
"3.978 , 32.997 , 64.9995","250.9965 , 175.9755 , 153"
"3.978 , 32.997 , 64.9995","251.991 , 112.9905 , 46.9965"
"3.978 , 32.997 , 64.9995","230.979 , 126.99 , 114.9795"
"3.978 , 32.997 , 64.9995","232.9935 , 52.989 , 6.987"
"3.978 , 32.997 , 64.9995","162.996 , 87.975 , 57.987"
"3.978 , 32.997 , 64.9995","165.9795 , 26.979 , 1.989"
"3.978 , 32.997 , 64.9995","120.9975 , 41.9985 , 24.99"
"3.978 , 32.997 , 64.9995","246.993 , 153.9945 , 161.976"
"3.978 , 32.997 , 64.9995","226.9755 , 97.9965 , 100.98"
"3.978 , 32.997 , 64.9995","210.987 , 121.992 , 125.9955"
"3.978 , 32.997 , 64.9995","218.994 , 11.985 , 39.984"
"3.978 , 32.997 , 64.9995","150.9855 , 72.981 , 75.99"
"3.978 , 32.997 , 64.9995","155.9835 , 8.976 , 26.979"
"3.978 , 32.997 , 64.9995","89.9895 , 29.988 , 31.977"
"3.978 , 32.997 , 64.9995","1.989 , 3.978 , 0.9945"
"3.978 , 32.997 , 64.9995","41.9985 , 48.9855 , 40.9785"
"3.978 , 32.997 , 64.9995","89.9895 , 95.982 , 81.9825"
"3.978 , 32.997 , 64.9995","93.993 , 99.9855 , 85.986"
"3.978 , 32.997 , 64.9995","126.99 , 130.9935 , 116.994"
"3.978 , 32.997 , 64.9995","157.998 , 161.976 , 147.9765"
"3.978 , 32.997 , 64.9995","180.999 , 186.9915 , 172.992"
"3.978 , 32.997 , 64.9995","216.9795 , 218.994 , 205.989"
"3.978 , 32.997 , 64.9995","246.993 , 247.9875 , 241.995"
"115.9995 , 183.9825 , 195.993","115.9995 , 183.9825 , 195.993"
"115.9995 , 183.9825 , 195.993","51 , 148.9965 , 183.9825"
"115.9995 , 183.9825 , 195.993","88.995 , 145.9875 , 162.996"
"115.9995 , 183.9825 , 195.993","2.9835 , 82.977 , 154.989"
"115.9995 , 183.9825 , 195.993","47.991 , 40.9785 , 116.994"
"115.9995 , 183.9825 , 195.993","3.978 , 64.9995 , 111.996"
"115.9995 , 183.9825 , 195.993","9.996 , 56.9925 , 76.9845"
"115.9995 , 183.9825 , 195.993","141.984 , 207.978 , 193.9785"
"115.9995 , 183.9825 , 195.993","65.994 , 167.994 , 154.989"
"115.9995 , 183.9825 , 195.993","104.9835 , 168.9885 , 153"
"115.9995 , 183.9825 , 195.993","8.976 , 110.976 , 121.992"
"115.9995 , 183.9825 , 195.993","54.978 , 116.994 , 103.989"
"115.9995 , 183.9825 , 195.993","3.978 , 78.999 , 73.9755"
"115.9995 , 183.9825 , 195.993","10.9905 , 59.976 , 56.9925"
"115.9995 , 183.9825 , 195.993","163.9905 , 226.9755 , 172.992"
"115.9995 , 183.9825 , 195.993","95.982 , 193.9785 , 110.976"
"115.9995 , 183.9825 , 195.993","131.988 , 179.979 , 127.9845"
"115.9995 , 183.9825 , 195.993","64.9995 , 161.976 , 68.9775"
"115.9995 , 183.9825 , 195.993","72.981 , 127.9845 , 85.986"
"115.9995 , 183.9825 , 195.993","32.997 , 116.994 , 39.984"
"115.9995 , 183.9825 , 195.993","22.9755 , 61.9905 , 31.977"
"115.9995 , 183.9825 , 195.993","216.9795 , 226.9755 , 106.998"
"115.9995 , 183.9825 , 195.993","197.982 , 221.9775 , 36.975"
"115.9995 , 183.9825 , 195.993","174.981 , 190.995 , 90.984"
"115.9995 , 183.9825 , 195.993","170.9775 , 201.9855 , 1.989"
"115.9995 , 183.9825 , 195.993","132.9825 , 147.9765 , 42.993"
"115.9995 , 183.9825 , 195.993","117.9885 , 142.9785 , 0.9945"
"115.9995 , 183.9825 , 195.993","68.9775 , 85.986 , 7.9815"
"115.9995 , 183.9825 , 195.993","251.991 , 236.997 , 119.9775"
"115.9995 , 183.9825 , 195.993","252.9855 , 221.9775 , 42.993"
"115.9995 , 183.9825 , 195.993","211.9815 , 190.995 , 81.9825"
"115.9995 , 183.9825 , 195.993","244.9785 , 208.998 , 0.9945"
"115.9995 , 183.9825 , 195.993","175.9755 , 151.98 , 45.9765"
"115.9995 , 183.9825 , 195.993","170.9775 , 143.9985 , 2.9835"
"115.9995 , 183.9825 , 195.993","104.9835 , 90.984 , 20.9865"
"115.9995 , 183.9825 , 195.993","250.9965 , 200.991 , 141.984"
"115.9995 , 183.9825 , 195.993","251.991 , 166.9995 , 40.9785"
"115.9995 , 183.9825 , 195.993","228.99 , 154.989 , 91.9785"
"115.9995 , 183.9825 , 195.993","255 , 143.9985 , 0"
"115.9995 , 183.9825 , 195.993","174.981 , 120.9975 , 60.996"
"115.9995 , 183.9825 , 195.993","172.992 , 100.98 , 1.989"
"115.9995 , 183.9825 , 195.993","118.983 , 69.9975 , 11.985"
"115.9995 , 183.9825 , 195.993","250.9965 , 175.9755 , 153"
"115.9995 , 183.9825 , 195.993","251.991 , 112.9905 , 46.9965"
"115.9995 , 183.9825 , 195.993","230.979 , 126.99 , 114.9795"
"115.9995 , 183.9825 , 195.993","232.9935 , 52.989 , 6.987"
"115.9995 , 183.9825 , 195.993","162.996 , 87.975 , 57.987"
"115.9995 , 183.9825 , 195.993","165.9795 , 26.979 , 1.989"
"115.9995 , 183.9825 , 195.993","120.9975 , 41.9985 , 24.99"
"115.9995 , 183.9825 , 195.993","246.993 , 153.9945 , 161.976"
"115.9995 , 183.9825 , 195.993","226.9755 , 97.9965 , 100.98"
"115.9995 , 183.9825 , 195.993","210.987 , 121.992 , 125.9955"
"115.9995 , 183.9825 , 195.993","218.994 , 11.985 , 39.984"
"115.9995 , 183.9825 , 195.993","150.9855 , 72.981 , 75.99"
"115.9995 , 183.9825 , 195.993","155.9835 , 8.976 , 26.979"
"115.9995 , 183.9825 , 195.993","89.9895 , 29.988 , 31.977"
"115.9995 , 183.9825 , 195.993","1.989 , 3.978 , 0.9945"
"115.9995 , 183.9825 , 195.993","41.9985 , 48.9855 , 40.9785"
"115.9995 , 183.9825 , 195.993","89.9895 , 95.982 , 81.9825"
"115.9995 , 183.9825 , 195.993","93.993 , 99.9855 , 85.986"
"115.9995 , 183.9825 , 195.993","126.99 , 130.9935 , 116.994"
"115.9995 , 183.9825 , 195.993","157.998 , 161.976 , 147.9765"
"115.9995 , 183.9825 , 195.993","180.999 , 186.9915 , 172.992"
"115.9995 , 183.9825 , 195.993","216.9795 , 218.994 , 205.989"
"115.9995 , 183.9825 , 195.993","246.993 , 247.9875 , 241.995"
"51 , 148.9965 , 183.9825","51 , 148.9965 , 183.9825"
"51 , 148.9965 , 183.9825","88.995 , 145.9875 , 162.996"
"51 , 148.9965 , 183.9825","2.9835 , 82.977 , 154.989"
"51 , 148.9965 , 183.9825","47.991 , 40.9785 , 116.994"
"51 , 148.9965 , 183.9825","3.978 , 64.9995 , 111.996"
"51 , 148.9965 , 183.9825","9.996 , 56.9925 , 76.9845"
"51 , 148.9965 , 183.9825","141.984 , 207.978 , 193.9785"
"51 , 148.9965 , 183.9825","65.994 , 167.994 , 154.989"
"51 , 148.9965 , 183.9825","104.9835 , 168.9885 , 153"
"51 , 148.9965 , 183.9825","8.976 , 110.976 , 121.992"
"51 , 148.9965 , 183.9825","54.978 , 116.994 , 103.989"
"51 , 148.9965 , 183.9825","3.978 , 78.999 , 73.9755"
"51 , 148.9965 , 183.9825","10.9905 , 59.976 , 56.9925"
"51 , 148.9965 , 183.9825","163.9905 , 226.9755 , 172.992"
"51 , 148.9965 , 183.9825","95.982 , 193.9785 , 110.976"
"51 , 148.9965 , 183.9825","131.988 , 179.979 , 127.9845"
"51 , 148.9965 , 183.9825","64.9995 , 161.976 , 68.9775"
"51 , 148.9965 , 183.9825","72.981 , 127.9845 , 85.986"
"51 , 148.9965 , 183.9825","32.997 , 116.994 , 39.984"
"51 , 148.9965 , 183.9825","22.9755 , 61.9905 , 31.977"
"51 , 148.9965 , 183.9825","216.9795 , 226.9755 , 106.998"
"51 , 148.9965 , 183.9825","197.982 , 221.9775 , 36.975"
"51 , 148.9965 , 183.9825","174.981 , 190.995 , 90.984"
"51 , 148.9965 , 183.9825","170.9775 , 201.9855 , 1.989"
"51 , 148.9965 , 183.9825","132.9825 , 147.9765 , 42.993"
"51 , 148.9965 , 183.9825","117.9885 , 142.9785 , 0.9945"
"51 , 148.9965 , 183.9825","68.9775 , 85.986 , 7.9815"
"51 , 148.9965 , 183.9825","251.991 , 236.997 , 119.9775"
"51 , 148.9965 , 183.9825","252.9855 , 221.9775 , 42.993"
"51 , 148.9965 , 183.9825","211.9815 , 190.995 , 81.9825"
"51 , 148.9965 , 183.9825","244.9785 , 208.998 , 0.9945"
"51 , 148.9965 , 183.9825","175.9755 , 151.98 , 45.9765"
"51 , 148.9965 , 183.9825","170.9775 , 143.9985 , 2.9835"
"51 , 148.9965 , 183.9825","104.9835 , 90.984 , 20.9865"
"51 , 148.9965 , 183.9825","250.9965 , 200.991 , 141.984"
"51 , 148.9965 , 183.9825","251.991 , 166.9995 , 40.9785"
"51 , 148.9965 , 183.9825","228.99 , 154.989 , 91.9785"
"51 , 148.9965 , 183.9825","255 , 143.9985 , 0"
"51 , 148.9965 , 183.9825","174.981 , 120.9975 , 60.996"
"51 , 148.9965 , 183.9825","172.992 , 100.98 , 1.989"
"51 , 148.9965 , 183.9825","118.983 , 69.9975 , 11.985"
"51 , 148.9965 , 183.9825","250.9965 , 175.9755 , 153"
"51 , 148.9965 , 183.9825","251.991 , 112.9905 , 46.9965"
"51 , 148.9965 , 183.9825","230.979 , 126.99 , 114.9795"
"51 , 148.9965 , 183.9825","232.9935 , 52.989 , 6.987"
"51 , 148.9965 , 183.9825","162.996 , 87.975 , 57.987"
"51 , 148.9965 , 183.9825","165.9795 , 26.979 , 1.989"
"51 , 148.9965 , 183.9825","120.9975 , 41.9985 , 24.99"
"51 , 148.9965 , 183.9825","246.993 , 153.9945 , 161.976"
"51 , 148.9965 , 183.9825","226.9755 , 97.9965 , 100.98"
"51 , 148.9965 , 183.9825","210.987 , 121.992 , 125.9955"
"51 , 148.9965 , 183.9825","218.994 , 11.985 , 39.984"
"51 , 148.9965 , 183.9825","150.9855 , 72.981 , 75.99"
"51 , 148.9965 , 183.9825","155.9835 , 8.976 , 26.979"
"51 , 148.9965 , 183.9825","89.9895 , 29.988 , 31.977"
"51 , 148.9965 , 183.9825","1.989 , 3.978 , 0.9945"
"51 , 148.9965 , 183.9825","41.9985 , 48.9855 , 40.9785"
"51 , 148.9965 , 183.9825","89.9895 , 95.982 , 81.9825"
"51 , 148.9965 , 183.9825","93.993 , 99.9855 , 85.986"
"51 , 148.9965 , 183.9825","126.99 , 130.9935 , 116.994"
"51 , 148.9965 , 183.9825","157.998 , 161.976 , 147.9765"
"51 , 148.9965 , 183.9825","180.999 , 186.9915 , 172.992"
"51 , 148.9965 , 183.9825","216.9795 , 218.994 , 205.989"
"51 , 148.9965 , 183.9825","246.993 , 247.9875 , 241.995"
"88.995 , 145.9875 , 162.996","88.995 , 145.9875 , 162.996"
"88.995 , 145.9875 , 162.996","2.9835 , 82.977 , 154.989"
"88.995 , 145.9875 , 162.996","47.991 , 40.9785 , 116.994"
"88.995 , 145.9875 , 162.996","3.978 , 64.9995 , 111.996"
"88.995 , 145.9875 , 162.996","9.996 , 56.9925 , 76.9845"
"88.995 , 145.9875 , 162.996","141.984 , 207.978 , 193.9785"
"88.995 , 145.9875 , 162.996","65.994 , 167.994 , 154.989"
"88.995 , 145.9875 , 162.996","104.9835 , 168.9885 , 153"
"88.995 , 145.9875 , 162.996","8.976 , 110.976 , 121.992"
"88.995 , 145.9875 , 162.996","54.978 , 116.994 , 103.989"
"88.995 , 145.9875 , 162.996","3.978 , 78.999 , 73.9755"
"88.995 , 145.9875 , 162.996","10.9905 , 59.976 , 56.9925"
"88.995 , 145.9875 , 162.996","163.9905 , 226.9755 , 172.992"
"88.995 , 145.9875 , 162.996","95.982 , 193.9785 , 110.976"
"88.995 , 145.9875 , 162.996","131.988 , 179.979 , 127.9845"
"88.995 , 145.9875 , 162.996","64.9995 , 161.976 , 68.9775"
"88.995 , 145.9875 , 162.996","72.981 , 127.9845 , 85.986"
"88.995 , 145.9875 , 162.996","32.997 , 116.994 , 39.984"
"88.995 , 145.9875 , 162.996","22.9755 , 61.9905 , 31.977"
"88.995 , 145.9875 , 162.996","216.9795 , 226.9755 , 106.998"
"88.995 , 145.9875 , 162.996","197.982 , 221.9775 , 36.975"
"88.995 , 145.9875 , 162.996","174.981 , 190.995 , 90.984"
"88.995 , 145.9875 , 162.996","170.9775 , 201.9855 , 1.989"
"88.995 , 145.9875 , 162.996","132.9825 , 147.9765 , 42.993"
"88.995 , 145.9875 , 162.996","117.9885 , 142.9785 , 0.9945"
"88.995 , 145.9875 , 162.996","68.9775 , 85.986 , 7.9815"
"88.995 , 145.9875 , 162.996","251.991 , 236.997 , 119.9775"
"88.995 , 145.9875 , 162.996","252.9855 , 221.9775 , 42.993"
"88.995 , 145.9875 , 162.996","211.9815 , 190.995 , 81.9825"
"88.995 , 145.9875 , 162.996","244.9785 , 208.998 , 0.9945"
"88.995 , 145.9875 , 162.996","175.9755 , 151.98 , 45.9765"
"88.995 , 145.9875 , 162.996","170.9775 , 143.9985 , 2.9835"
"88.995 , 145.9875 , 162.996","104.9835 , 90.984 , 20.9865"
"88.995 , 145.9875 , 162.996","250.9965 , 200.991 , 141.984"
"88.995 , 145.9875 , 162.996","251.991 , 166.9995 , 40.9785"
"88.995 , 145.9875 , 162.996","228.99 , 154.989 , 91.9785"
"88.995 , 145.9875 , 162.996","255 , 143.9985 , 0"
"88.995 , 145.9875 , 162.996","174.981 , 120.9975 , 60.996"
"88.995 , 145.9875 , 162.996","172.992 , 100.98 , 1.989"
"88.995 , 145.9875 , 162.996","118.983 , 69.9975 , 11.985"
"88.995 , 145.9875 , 162.996","250.9965 , 175.9755 , 153"
"88.995 , 145.9875 , 162.996","251.991 , 112.9905 , 46.9965"
"88.995 , 145.9875 , 162.996","230.979 , 126.99 , 114.9795"
"88.995 , 145.9875 , 162.996","232.9935 , 52.989 , 6.987"
"88.995 , 145.9875 , 162.996","162.996 , 87.975 , 57.987"
"88.995 , 145.9875 , 162.996","165.9795 , 26.979 , 1.989"
"88.995 , 145.9875 , 162.996","120.9975 , 41.9985 , 24.99"
"88.995 , 145.9875 , 162.996","246.993 , 153.9945 , 161.976"
"88.995 , 145.9875 , 162.996","226.9755 , 97.9965 , 100.98"
"88.995 , 145.9875 , 162.996","210.987 , 121.992 , 125.9955"
"88.995 , 145.9875 , 162.996","218.994 , 11.985 , 39.984"
"88.995 , 145.9875 , 162.996","150.9855 , 72.981 , 75.99"
"88.995 , 145.9875 , 162.996","155.9835 , 8.976 , 26.979"
"88.995 , 145.9875 , 162.996","89.9895 , 29.988 , 31.977"
"88.995 , 145.9875 , 162.996","1.989 , 3.978 , 0.9945"
"88.995 , 145.9875 , 162.996","41.9985 , 48.9855 , 40.9785"
"88.995 , 145.9875 , 162.996","89.9895 , 95.982 , 81.9825"
"88.995 , 145.9875 , 162.996","93.993 , 99.9855 , 85.986"
"88.995 , 145.9875 , 162.996","126.99 , 130.9935 , 116.994"
"88.995 , 145.9875 , 162.996","157.998 , 161.976 , 147.9765"
"88.995 , 145.9875 , 162.996","180.999 , 186.9915 , 172.992"
"88.995 , 145.9875 , 162.996","216.9795 , 218.994 , 205.989"
"88.995 , 145.9875 , 162.996","246.993 , 247.9875 , 241.995"
"2.9835 , 82.977 , 154.989","2.9835 , 82.977 , 154.989"
"2.9835 , 82.977 , 154.989","47.991 , 40.9785 , 116.994"
"2.9835 , 82.977 , 154.989","3.978 , 64.9995 , 111.996"
"2.9835 , 82.977 , 154.989","9.996 , 56.9925 , 76.9845"
"2.9835 , 82.977 , 154.989","141.984 , 207.978 , 193.9785"
"2.9835 , 82.977 , 154.989","65.994 , 167.994 , 154.989"
"2.9835 , 82.977 , 154.989","104.9835 , 168.9885 , 153"
"2.9835 , 82.977 , 154.989","8.976 , 110.976 , 121.992"
"2.9835 , 82.977 , 154.989","54.978 , 116.994 , 103.989"
"2.9835 , 82.977 , 154.989","3.978 , 78.999 , 73.9755"
"2.9835 , 82.977 , 154.989","10.9905 , 59.976 , 56.9925"
"2.9835 , 82.977 , 154.989","163.9905 , 226.9755 , 172.992"
"2.9835 , 82.977 , 154.989","95.982 , 193.9785 , 110.976"
"2.9835 , 82.977 , 154.989","131.988 , 179.979 , 127.9845"
"2.9835 , 82.977 , 154.989","64.9995 , 161.976 , 68.9775"
"2.9835 , 82.977 , 154.989","72.981 , 127.9845 , 85.986"
"2.9835 , 82.977 , 154.989","32.997 , 116.994 , 39.984"
"2.9835 , 82.977 , 154.989","22.9755 , 61.9905 , 31.977"
"2.9835 , 82.977 , 154.989","216.9795 , 226.9755 , 106.998"
"2.9835 , 82.977 , 154.989","197.982 , 221.9775 , 36.975"
"2.9835 , 82.977 , 154.989","174.981 , 190.995 , 90.984"
"2.9835 , 82.977 , 154.989","170.9775 , 201.9855 , 1.989"
"2.9835 , 82.977 , 154.989","132.9825 , 147.9765 , 42.993"
"2.9835 , 82.977 , 154.989","117.9885 , 142.9785 , 0.9945"
"2.9835 , 82.977 , 154.989","68.9775 , 85.986 , 7.9815"
"2.9835 , 82.977 , 154.989","251.991 , 236.997 , 119.9775"
"2.9835 , 82.977 , 154.989","252.9855 , 221.9775 , 42.993"
"2.9835 , 82.977 , 154.989","211.9815 , 190.995 , 81.9825"
"2.9835 , 82.977 , 154.989","244.9785 , 208.998 , 0.9945"
"2.9835 , 82.977 , 154.989","175.9755 , 151.98 , 45.9765"
"2.9835 , 82.977 , 154.989","170.9775 , 143.9985 , 2.9835"
"2.9835 , 82.977 , 154.989","104.9835 , 90.984 , 20.9865"
"2.9835 , 82.977 , 154.989","250.9965 , 200.991 , 141.984"
"2.9835 , 82.977 , 154.989","251.991 , 166.9995 , 40.9785"
"2.9835 , 82.977 , 154.989","228.99 , 154.989 , 91.9785"
"2.9835 , 82.977 , 154.989","255 , 143.9985 , 0"
"2.9835 , 82.977 , 154.989","174.981 , 120.9975 , 60.996"
"2.9835 , 82.977 , 154.989","172.992 , 100.98 , 1.989"
"2.9835 , 82.977 , 154.989","118.983 , 69.9975 , 11.985"
"2.9835 , 82.977 , 154.989","250.9965 , 175.9755 , 153"
"2.9835 , 82.977 , 154.989","251.991 , 112.9905 , 46.9965"
"2.9835 , 82.977 , 154.989","230.979 , 126.99 , 114.9795"
"2.9835 , 82.977 , 154.989","232.9935 , 52.989 , 6.987"
"2.9835 , 82.977 , 154.989","162.996 , 87.975 , 57.987"
"2.9835 , 82.977 , 154.989","165.9795 , 26.979 , 1.989"
"2.9835 , 82.977 , 154.989","120.9975 , 41.9985 , 24.99"
"2.9835 , 82.977 , 154.989","246.993 , 153.9945 , 161.976"
"2.9835 , 82.977 , 154.989","226.9755 , 97.9965 , 100.98"
"2.9835 , 82.977 , 154.989","210.987 , 121.992 , 125.9955"
"2.9835 , 82.977 , 154.989","218.994 , 11.985 , 39.984"
"2.9835 , 82.977 , 154.989","150.9855 , 72.981 , 75.99"
"2.9835 , 82.977 , 154.989","155.9835 , 8.976 , 26.979"
"2.9835 , 82.977 , 154.989","89.9895 , 29.988 , 31.977"
"2.9835 , 82.977 , 154.989","1.989 , 3.978 , 0.9945"
"2.9835 , 82.977 , 154.989","41.9985 , 48.9855 , 40.9785"
"2.9835 , 82.977 , 154.989","89.9895 , 95.982 , 81.9825"
"2.9835 , 82.977 , 154.989","93.993 , 99.9855 , 85.986"
"2.9835 , 82.977 , 154.989","126.99 , 130.9935 , 116.994"
"2.9835 , 82.977 , 154.989","157.998 , 161.976 , 147.9765"
"2.9835 , 82.977 , 154.989","180.999 , 186.9915 , 172.992"
"2.9835 , 82.977 , 154.989","216.9795 , 218.994 , 205.989"
"2.9835 , 82.977 , 154.989","246.993 , 247.9875 , 241.995"
"47.991 , 40.9785 , 116.994","47.991 , 40.9785 , 116.994"
"47.991 , 40.9785 , 116.994","3.978 , 64.9995 , 111.996"
"47.991 , 40.9785 , 116.994","9.996 , 56.9925 , 76.9845"
"47.991 , 40.9785 , 116.994","141.984 , 207.978 , 193.9785"
"47.991 , 40.9785 , 116.994","65.994 , 167.994 , 154.989"
"47.991 , 40.9785 , 116.994","104.9835 , 168.9885 , 153"
"47.991 , 40.9785 , 116.994","8.976 , 110.976 , 121.992"
"47.991 , 40.9785 , 116.994","54.978 , 116.994 , 103.989"
"47.991 , 40.9785 , 116.994","3.978 , 78.999 , 73.9755"
"47.991 , 40.9785 , 116.994","10.9905 , 59.976 , 56.9925"
"47.991 , 40.9785 , 116.994","163.9905 , 226.9755 , 172.992"
"47.991 , 40.9785 , 116.994","95.982 , 193.9785 , 110.976"
"47.991 , 40.9785 , 116.994","131.988 , 179.979 , 127.9845"
"47.991 , 40.9785 , 116.994","64.9995 , 161.976 , 68.9775"
"47.991 , 40.9785 , 116.994","72.981 , 127.9845 , 85.986"
"47.991 , 40.9785 , 116.994","32.997 , 116.994 , 39.984"
"47.991 , 40.9785 , 116.994","22.9755 , 61.9905 , 31.977"
"47.991 , 40.9785 , 116.994","216.9795 , 226.9755 , 106.998"
"47.991 , 40.9785 , 116.994","197.982 , 221.9775 , 36.975"
"47.991 , 40.9785 , 116.994","174.981 , 190.995 , 90.984"
"47.991 , 40.9785 , 116.994","170.9775 , 201.9855 , 1.989"
"47.991 , 40.9785 , 116.994","132.9825 , 147.9765 , 42.993"
"47.991 , 40.9785 , 116.994","117.9885 , 142.9785 , 0.9945"
"47.991 , 40.9785 , 116.994","68.9775 , 85.986 , 7.9815"
"47.991 , 40.9785 , 116.994","251.991 , 236.997 , 119.9775"
"47.991 , 40.9785 , 116.994","252.9855 , 221.9775 , 42.993"
"47.991 , 40.9785 , 116.994","211.9815 , 190.995 , 81.9825"
"47.991 , 40.9785 , 116.994","244.9785 , 208.998 , 0.9945"
"47.991 , 40.9785 , 116.994","175.9755 , 151.98 , 45.9765"
"47.991 , 40.9785 , 116.994","170.9775 , 143.9985 , 2.9835"
"47.991 , 40.9785 , 116.994","104.9835 , 90.984 , 20.9865"
"47.991 , 40.9785 , 116.994","250.9965 , 200.991 , 141.984"
"47.991 , 40.9785 , 116.994","251.991 , 166.9995 , 40.9785"
"47.991 , 40.9785 , 116.994","228.99 , 154.989 , 91.9785"
"47.991 , 40.9785 , 116.994","255 , 143.9985 , 0"
"47.991 , 40.9785 , 116.994","174.981 , 120.9975 , 60.996"
"47.991 , 40.9785 , 116.994","172.992 , 100.98 , 1.989"
"47.991 , 40.9785 , 116.994","118.983 , 69.9975 , 11.985"
"47.991 , 40.9785 , 116.994","250.9965 , 175.9755 , 153"
"47.991 , 40.9785 , 116.994","251.991 , 112.9905 , 46.9965"
"47.991 , 40.9785 , 116.994","230.979 , 126.99 , 114.9795"
"47.991 , 40.9785 , 116.994","232.9935 , 52.989 , 6.987"
"47.991 , 40.9785 , 116.994","162.996 , 87.975 , 57.987"
"47.991 , 40.9785 , 116.994","165.9795 , 26.979 , 1.989"
"47.991 , 40.9785 , 116.994","120.9975 , 41.9985 , 24.99"
"47.991 , 40.9785 , 116.994","246.993 , 153.9945 , 161.976"
"47.991 , 40.9785 , 116.994","226.9755 , 97.9965 , 100.98"
"47.991 , 40.9785 , 116.994","210.987 , 121.992 , 125.9955"
"47.991 , 40.9785 , 116.994","218.994 , 11.985 , 39.984"
"47.991 , 40.9785 , 116.994","150.9855 , 72.981 , 75.99"
"47.991 , 40.9785 , 116.994","155.9835 , 8.976 , 26.979"
"47.991 , 40.9785 , 116.994","89.9895 , 29.988 , 31.977"
"47.991 , 40.9785 , 116.994","1.989 , 3.978 , 0.9945"
"47.991 , 40.9785 , 116.994","41.9985 , 48.9855 , 40.9785"
"47.991 , 40.9785 , 116.994","89.9895 , 95.982 , 81.9825"
"47.991 , 40.9785 , 116.994","93.993 , 99.9855 , 85.986"
"47.991 , 40.9785 , 116.994","126.99 , 130.9935 , 116.994"
"47.991 , 40.9785 , 116.994","157.998 , 161.976 , 147.9765"
"47.991 , 40.9785 , 116.994","180.999 , 186.9915 , 172.992"
"47.991 , 40.9785 , 116.994","216.9795 , 218.994 , 205.989"
"47.991 , 40.9785 , 116.994","246.993 , 247.9875 , 241.995"
"3.978 , 64.9995 , 111.996","3.978 , 64.9995 , 111.996"
"3.978 , 64.9995 , 111.996","9.996 , 56.9925 , 76.9845"
"3.978 , 64.9995 , 111.996","141.984 , 207.978 , 193.9785"
"3.978 , 64.9995 , 111.996","65.994 , 167.994 , 154.989"
"3.978 , 64.9995 , 111.996","104.9835 , 168.9885 , 153"
"3.978 , 64.9995 , 111.996","8.976 , 110.976 , 121.992"
"3.978 , 64.9995 , 111.996","54.978 , 116.994 , 103.989"
"3.978 , 64.9995 , 111.996","3.978 , 78.999 , 73.9755"
"3.978 , 64.9995 , 111.996","10.9905 , 59.976 , 56.9925"
"3.978 , 64.9995 , 111.996","163.9905 , 226.9755 , 172.992"
"3.978 , 64.9995 , 111.996","95.982 , 193.9785 , 110.976"
"3.978 , 64.9995 , 111.996","131.988 , 179.979 , 127.9845"
"3.978 , 64.9995 , 111.996","64.9995 , 161.976 , 68.9775"
"3.978 , 64.9995 , 111.996","72.981 , 127.9845 , 85.986"
"3.978 , 64.9995 , 111.996","32.997 , 116.994 , 39.984"
"3.978 , 64.9995 , 111.996","22.9755 , 61.9905 , 31.977"
"3.978 , 64.9995 , 111.996","216.9795 , 226.9755 , 106.998"
"3.978 , 64.9995 , 111.996","197.982 , 221.9775 , 36.975"
"3.978 , 64.9995 , 111.996","174.981 , 190.995 , 90.984"
"3.978 , 64.9995 , 111.996","170.9775 , 201.9855 , 1.989"
"3.978 , 64.9995 , 111.996","132.9825 , 147.9765 , 42.993"
"3.978 , 64.9995 , 111.996","117.9885 , 142.9785 , 0.9945"
"3.978 , 64.9995 , 111.996","68.9775 , 85.986 , 7.9815"
"3.978 , 64.9995 , 111.996","251.991 , 236.997 , 119.9775"
