"","participant","spearman","pearson","meanrt","medianrt","meandiff","meancatchrt","mediancatchrt","catchacc","predspear","predpears"
"17","5ff3e48f937861584630e5a2",0.799155113388158,0.798370532685602,0.48890875,0.36635,0.41875,1.42395,1.3663,1,-0.142901970641396,-0.216249947314611
"18","605f064127eec9cb4494b4d9",0.351150816669474,0.3631474231364,0.930383125,0.8189,1.4125,1.670725,1.64205,1,0.268904311008291,0.276714667994613
"19","60b9af795939f976cb74232a",0.750055482076908,0.756410806301149,3.0705140625,2.3544,0.9625,2.4358,2.04235,1,0.294908007631625,0.303078981336079
"20","60f36868575f391fc987f84e",0.594436320224221,0.635828641321042,2.2149559375,1.81565,1,1.355145,1.34115,1,0.183123288654819,0.178897438004535
"21","60f3bc4e36762e0c2d9132cb",0.731873330193344,0.811162905737932,1.1838359375,1.00605,0.875,1.662715,1.52465,1,0.198232305152315,0.287413925503159
"22","60f4e713c05794eb144760df",0.85203822988759,0.895114577331722,1.4861846875,1.25,0.625,1.552085,1.4834,1,0.381604105037885,0.325928000661149
"23","60f660d407beb2fa01b360ef",0.659611805970411,0.753468146901556,1.38675,0.95,1.03125,1.99235,1.9585,1,0.420763968811632,0.425600197298956
"24","60f7da3cfc0813737c408ce3",0.73296973207649,0.762051970426259,1.3224359375,0.90145,0.70625,2.343815,2.36755,1,0.319972246392747,0.317068861322766
"25","60f849ba229ad7f52b11f7e6",0.469775663218277,0.488441557911144,0.89749375,0.5734,0.69375,1.96193684210526,1.6708,0.9,0.387002202086185,0.343077223657131
"26","60f8d449cbfb4e157c2d7c09",0.410231264852215,0.462292222582882,1.6604209375,1.08365,2.425,1.84959,1.6423,1,0.331825392059726,0.373846763143906
"27","60f8fb8d2c5a8b523880f6ae",0.579629967425155,0.693961127029994,1.48230625,1.317,0.9,2.32336842105263,2.318,0.95,0.139721279097866,0.170047833170927
"28","60f974cd86441b6d038c484f",0.673504853457495,0.709112154448941,1.7956621875,1.2999,0.9,1.650115,1.62415,1,0.45568968327925,0.438175518612441
"29","60fa1df4616a7c4ed9d42ae7",0.739096342332996,0.820529982701448,1.3377078125,1.15595,0.775,1.94473,1.8858,1,0.233238068376455,0.143917536985816
"30","60fb1eeb25785cbdfbcbdf02",-0.0536260836039253,-0.0608640345208526,1.15174125,0.4481,2.51875,0.791268421052632,0.7855,0.25,0.0444898045059179,0.0529384174073445
"31","60fb2cd6d4e01d29d28c7f36",0.515179497751404,0.630488417066772,2.2030546875,1.867,1.00625,3.698155,2.98495,0.65,0.205825672000228,0.213237081022509
"32","60fb7a9fcbdab69a8f9c9cc2",0.730103388429262,0.742204145915552,2.1354703125,1.7342,0.65625,2.007035,1.85185,1,0.239835025200853,0.269190923385702
"33","60fbd8a8cfb0ae114d24ae48",0.741495776429155,0.779798107277677,1.1519690625,0.97545,0.9375,1.485115,1.37675,1,0.283662471479876,0.22946197323476
"34","60fc4d6e7ecc39361906af7c",0.718955799912926,0.754948439064051,0.8395,0.7825,1.16875,1.4684,1.4495,1,0.273512278080049,0.273148963585152
"35","60fc62bc260a350027a1432c",0.748130742512764,0.833410720825472,1.42652,1.13865,0.7625,1.80243157894737,1.6663,0.947368421052632,0.397779478116339,0.384283905527179
"36","60fc66800ccfce9c74ed4f3d",0.847532179074193,0.858153846003788,0.9525375,0.8825,0.6375,1.54775,1.4155,1,0.337492824085513,0.309989632237975
"37","60fc7e0e424b1ce5aa8dd706",0.702392215993279,0.746773987136182,1.064715625,0.933,1.05625,1.54284210526316,1.433,1,0.164302053125146,0.158859001513099
"38","60fca5d8124a760a80ff917c",0.801421540779575,0.807775403366338,1.487535,1.2152,0.7625,1.65119,1.6145,1,0.310570569436059,0.281037387735489
"39","60fcac2063bbc8bce2700ad5",0.579487664972451,0.628708436283238,0.8944288125,0.7702325,1.0875,1.2025025,1.1836575,1,0.357180364414238,0.33161153009624
"40","60fcb26677a917ac1dd40513",0.786148346877661,0.82262333064987,1.3911046875,1.1334,0.63125,1.57044,1.50715,1,0.40168726889128,0.35901142621144
